,minimum_sample_split,n_estimators,minimum_sample_leaf,minimum_impurity_decrease,training_accuracy,testing_accuracy,accuracy_differences
150,7,30,0.51,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
151,7,30,0.51,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
152,7,30,0.51,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
153,7,30,0.56,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
154,7,30,0.56,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
155,7,30,0.56,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
156,7,30,0.6100000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
157,7,30,0.6100000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
158,7,30,0.6100000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
159,7,30,0.66,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
160,7,30,0.66,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
161,7,30,0.66,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
162,7,30,0.7100000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
163,7,30,0.7100000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
164,7,30,0.7100000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
165,7,30,0.76,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
166,7,30,0.76,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
167,7,30,0.76,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
168,7,30,0.81,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
169,7,30,0.81,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
170,7,30,0.81,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
171,7,30,0.8600000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
172,7,30,0.8600000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
173,7,30,0.8600000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
174,7,30,0.91,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
175,7,30,0.91,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
176,7,30,0.91,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
177,7,30,0.9600000000000001,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
178,7,30,0.9600000000000001,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
179,7,30,0.9600000000000001,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
180,9,30,0.01,0.0,0.8997093023255814,0.8826086956521739,0.017100606673407515
181,9,30,0.01,0.05,0.8313953488372093,0.8478260869565217,0.016430738119312394
182,9,30,0.01,0.1,0.809593023255814,0.8260869565217391,0.016493933265925187
183,9,30,0.060000000000000005,0.0,0.8531976744186046,0.8695652173913043,0.01636754297269971
184,9,30,0.060000000000000005,0.05,0.8343023255813954,0.8391304347826087,0.004828109201213349
185,9,30,0.060000000000000005,0.1,0.8197674418604651,0.8217391304347826,0.0019716885743175094
186,9,30,0.11,0.0,0.8401162790697675,0.8478260869565217,0.0077098078867542386
187,9,30,0.11,0.05,0.8386627906976745,0.8478260869565217,0.009163296258847264
188,9,30,0.11,0.1,0.8197674418604651,0.8217391304347826,0.0019716885743175094
189,9,30,0.16000000000000003,0.0,0.8386627906976745,0.8391304347826087,0.0004676440849342711
190,9,30,0.16000000000000003,0.05,0.8313953488372093,0.8347826086956521,0.0033872598584427926
191,9,30,0.16000000000000003,0.1,0.8357558139534884,0.8347826086956521,0.0009732052578362849
192,9,30,0.21000000000000002,0.0,0.8343023255813954,0.8478260869565217,0.013523761375126342
193,9,30,0.21000000000000002,0.05,0.8313953488372093,0.8478260869565217,0.016430738119312394
194,9,30,0.21000000000000002,0.1,0.811046511627907,0.8217391304347826,0.010692618806875664
195,9,30,0.26,0.0,0.8372093023255814,0.8608695652173913,0.02366026289180989
196,9,30,0.26,0.05,0.811046511627907,0.8217391304347826,0.010692618806875664
197,9,30,0.26,0.1,0.811046511627907,0.8217391304347826,0.010692618806875664
198,9,30,0.31000000000000005,0.0,0.7543604651162791,0.7608695652173914,0.006509100101112275
199,9,30,0.31000000000000005,0.05,0.7340116279069767,0.782608695652174,0.04859706774519723
200,9,30,0.31000000000000005,0.1,0.5392441860465116,0.5956521739130435,0.056407987866531895
201,9,30,0.36000000000000004,0.0,0.5392441860465116,0.5956521739130435,0.056407987866531895
202,9,30,0.36000000000000004,0.05,0.5392441860465116,0.5956521739130435,0.056407987866531895
